walletAddress,projectName,projectSymbol,amountInvested,tokensReceived,purchaseTokenSymbol,tokenContractAddress,investmentType,investmentDate,transactionHash
0x81E80745572b9e974a1250fcc043661f509fd771,Socin,SCN,10,677.9661016949151,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T09:18:20.994Z,0xd03585541173b66b6754cfc24ede7a3a96d1f56ac68589d0e4020ddf13d38dd3
0x81E80745572b9e974a1250fcc043661f509fd771,DogeTon,DOTE,10,222222.2222222222,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T09:17:13.631Z,0x4d00c35bc7d47f54a429d6db049e1c40f30ca1062f1e1f4a1f484f86c09fc5dc
0x81E80745572b9e974a1250fcc043661f509fd771,PepeTon,PEPT,10,244897.9591836735,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T09:15:44.606Z,0x59f87cf8d5ac48a0d1571790a665eb47fbedd5d54b43d6fd289d7a578bf806dc
0x81E80745572b9e974a1250fcc043661f509fd771,BomeTon,BMT,10,260869.5652173913,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T09:14:41.160Z,0xe0f80aa972741850c19aa719de2f67a8d08819b49e226c1abe13f28433a72f38
0x81E80745572b9e974a1250fcc043661f509fd771,MemeTon,MMT,10,285714.2857142857,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T09:13:16.009Z,0x89ada80cd48f5a60941a6a25847e1860cedd8332f4f6218bf5787c8e102389af
0x81E80745572b9e974a1250fcc043661f509fd771,Soli Prime,SLP,10,833.3333333333333,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T09:12:12.773Z,0x06a9bd5a98a181f769d2c6f9c3f22a95e5a6a9ba7c84c7770f74ea369b9bcced
0x81E80745572b9e974a1250fcc043661f509fd771,XSnake,XSN,10,324324.3243243243,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T09:09:53.573Z,0x088294ffa65cb0952f7fa38b3c141f1f14de8d46f11d5d93194c5eb680f58bf9
0x81E80745572b9e974a1250fcc043661f509fd771,XTom,XTM,10,400000,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T09:08:42.717Z,0x131f946f50eec63168f0c5c8836ffca5f719361e7ea9b2b7255e5c17c8099be1
0x81E80745572b9e974a1250fcc043661f509fd771,Zupad,ZUP,10,4615.384615384615,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T09:07:19.003Z,0xd70bd635100735aede269f770a92218bd13d96c8d3e430cb0548715fd07397f5
0x81E80745572b9e974a1250fcc043661f509fd771,TingWhales,TWE,10,754.7169811320754,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T09:05:55.169Z,0xf033a69c18d9539d61cd9aab860667ffd409baec8b65df29ccfad1b9055349e8
0x81E80745572b9e974a1250fcc043661f509fd771,TingFi,TFI,10,659.3406593406593,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T09:04:37.708Z,0xb064cd78632798bd0a6fcfabc558654062a0b2156bc51179fa021ca35d169604
0x81E80745572b9e974a1250fcc043661f509fd771,TingTrace,TTR,10,731.7073170731705,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T09:02:55.777Z,0x693fe2ef7f2f1a4198ffedc92c3556ecc08897b103d13dcc564feb26f2b09325
0x81E80745572b9e974a1250fcc043661f509fd771,Web3 Job Fair,W3J,10,615.3846153846154,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T09:01:45.879Z,0x27dc183030c9b1ee4be91da42336c226dc6230513e54756116fb5d6dbd4b3825
0x81E80745572b9e974a1250fcc043661f509fd771,Xtox,XTOX,10,923.0769230769231,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T09:00:27.024Z,0x52a057c34ab9d9c1e22a8870833179e911c7c11dc7a071848cae5d6dce1b0c9f
0x81E80745572b9e974a1250fcc043661f509fd771,ArbPad,ARP,10,3636.363636363636,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T08:57:56.746Z,0xa03faf9c070122ed29336d9461bb1133a7667166844c4e9737a015ac94357691
0x81E80745572b9e974a1250fcc043661f509fd771,Jlaunchpad,JLP,10,5217.391304347826,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T08:56:38.085Z,0x3e9b3e6405d1ceb6dc228380d44320db16045c6506ffa23a9c5c00c84e568f2a
0x81E80745572b9e974a1250fcc043661f509fd771,Dragon Crossing,DGC,10,660.7747584042289,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T08:55:17.341Z,0x75073928fedec32121dff117ed02884d919232519870f60a20009f4015c6edb6
0x81E80745572b9e974a1250fcc043661f509fd771,Dragon Crossing,DGC,10,660.7747584042289,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T08:54:12.107Z,0xa162b79471fdfeceb71c21aaa7ba1dd2d024cd97cd8bc299477256f73dc8ea9b
0x81E80745572b9e974a1250fcc043661f509fd771,Dragon Crossing,DGC,10,660.7747584042289,ZUKIVERSE,0x2f123ca42f3825cecb0293fa044292d24f8cbb51,NORMAL,2024-10-08T08:53:33.211Z,0x630144e89613e51da43b72d2b57d5d15819c88385de1be2a7587be6765abd9f1
